timestamp,question,answer,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
2025-10-08 11:55:51,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,Non sono state trovate informazioni sulla data delle lezioni di Intelligent and Secure Networks.,0.812,0.000,0.000,0.000,0.350
2025-10-08 11:55:51,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,"I moduli necessari per fare il tirocinio vanno consegnati alla Segreteria Didattica del Dipartimento di Ingegneria prima dell'inizio del tirocinio. Non sono specificate precise tempistiche, ma è necessario consegnare i documenti firmati e timbrati dalla struttura ospitante prima della data prevista per l'inizio del tirocinio.",0.812,0.000,0.000,0.000,0.350
2025-10-09 07:33:51,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,Non presente nei documenti.,0.500,0.000,0.000,0.000,0.124
2025-10-09 07:33:51,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,Non presente nei documenti.,0.500,0.000,0.000,0.000,0.124
2025-10-09 07:46:49,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,Non presente nei documenti.,0.250,0.456,0.000,0.000,0.258
2025-10-09 07:46:49,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,"Gli strumenti richiesti per svolgere il tirocinio vengono consegnati alla Segreteria Didattica del Dipartimento di Ingegneria prima dell'inizio del tirocinio. Non sono presenti indicazioni specifiche su quali moduli vanno consegnati, ma si richiede che i documenti firmati e timbrati dalla struttura ospitante vengano consegnati nella citata segreteria.",0.250,0.456,0.000,0.000,0.258
2025-10-09 07:56:54,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,"Per quanto riguarda le lezioni di Intelligent and Secure Networks, non sono presenti informazioni specifiche sugli orari delle lezioni. Tuttavia, secondo l'elenco degli insegnamenti di primo e secondo semestre, l'insegnamento è disponibile solo nei due semestri. Per quanto riguarda gli appelli d'esame, secondo la tabella fornita in Fonte 2, l'insegnamento di Intelligent and Secure Networks ha le seguenti date degli appelli d'esame: 10, 13, 29, 16, 7, 25 e 11.",0.708,0.000,0.000,0.000,0.383
2025-10-09 07:56:54,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,"I moduli richiesti per il tirocinio vanno consegnati prima dell'inizio del tirocinio, ma i documenti firmati e timbrati dalla struttura ospitante devono essere consegnati alla Segreteria Didattica del Dipartimento di Ingegneria. Non sono presenti informazioni sulle specifiche modalità o tempi di consegna dei moduli per il tirocinio.",0.708,0.000,0.000,0.000,0.383
2025-10-09 08:28:56,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,Non presente nei documenti.,0.333,0.000,0.000,0.000,0.263
2025-10-09 08:28:56,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,"Per fare il tirocinio sono necessari alcuni moduli che servono per la formazione. Questi includono: obiettivi e modalità di svolgimento del tirocinio, con l'indicazione dei tempi di presenza. I documenti firmati e timbrati dalla struttura ospitante vanno consegnati alla Segreteria Didattica del Dipartimento di Ingegneria prima dell'inizio del tirocinio.",0.333,0.000,0.000,0.000,0.263
2025-10-09 08:41:15,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,Non presente nei documenti.,0.500,0.000,0.000,0.000,0.124
2025-10-09 08:41:15,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,Non presente nei documenti.,0.500,0.000,0.000,0.000,0.124
2025-10-09 09:20:51,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,Non presente nei documenti.,0.143,0.000,0.000,0.000,0.235
2025-10-09 09:20:51,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,"Per fare il tirocinio si devono consegnare i moduli specificati dalla struttura ospitante. Non sono presenti informazioni sulle tempistiche precise in cui vanno consegnati. I documenti firmati e timbrati dalla struttura ospitante, infatti, vanno consegnati alla Segreteria Didattica del Dipartimento di Ingegneria prima dell'inizio del tirocinio.",0.143,0.000,0.000,0.000,0.235
